position_title,approved_2022_baseline,in_position_2026_06,no_pay_leave,males,females
Medical Administrator (Senior Grade),1,0,0,0,0
Medical Administrator (Deputy Grade),2,2,0,2,0
Medical Consultant,16,26,0,17,9
Dental Surgeon,50,44,1,14,29
Medical Officer,253,233,0,109,124
Accountant,1,1,0,0,1
Bio Medical Engineer,1,0,0,0,0
Matron,4,1,0,0,1
Special Grade MLT,1,0,0,0,0
Special Grade Pharmacist,1,1,0,0,1
Special Grade Radiographer,1,0,0,0,0
Special Grade Midwife,1,0,0,0,0
Administrative Officer,1,1,0,0,1
Nutritionist,1,1,0,0,1
Psychiatric Social Worker,2,2,0,1,1
Nursing Sister / Master,20,12,0,1,11
Nursing Officer,682,659,20,28,611
Medical Laboratory Technologist,32,28,0,12,16
Occupational Therapist,5,5,0,2,3
Pharmacist,36,32,1,10,21
Physiotherapist,10,7,0,4,3
Radiographer,21,17,0,8,9
Speech Therapist,1,0,0,0,0
Midwife,45,33,0,0,33
Public Health Inspector,1,1,0,1,0
Bio Medical Engineering Assistant,2,0,0,0,0
Medical Record Assistant,4,1,0,0,1
Development Assistant,1,0,0,0,0
Development Officer,21,21,1,6,14
Dispenser,1,0,0,0,0
ECG Recordist,10,8,0,3,5
EEG Recordist,2,2,0,0,2
Orthopaedic Technician,1,0,0,0,0
Public Health Field Officer,0,1,0,1,0
ICT Assistant,2,1,0,1,0
Public Health Management Assistant,46,40,1,12,27
Diet Steward,4,2,0,0,2
House Warden,6,3,0,1,2
Ward Clerk,8,5,0,0,5
Electrician,1,1,0,1,0
Health Driver,18,18,0,18,0
Hospital Overseer,9,5,0,2,3
Caregiver,50,37,1,5,31
Boiler Operator,2,1,0,1,0
Carpenter,2,1,0,1,0
Cook,10,6,0,6,0
Health Laboratory Aid,11,12,0,6,6
High Pressure Machine Operator,3,0,0,0,0
Plumber / Pump Machine Operator,2,0,0,0,0
Sewing Machine Operator,8,3,0,0,0
Telephone Operator,7,3,0,1,2
Book Binder,1,0,0,0,0
KKS,6,1,0,0,1
Lift Operator,6,4,0,4,0
SKS Ordinary,450,242,4,80,158
SKS Junior,150,220,4,85,131
SKS Casual,0,1,0,0,1
